District,2015,2014,2013,2012,2011,2010,2009
Ayancik,,,,,,,
Total,22565,23047,22611,21149,21609,22743,22714
Man,11261,11569,11282,10563,10814,11306,11246
Woman,11304,11478,11329,10586,10795,11437,11468
Town,13285,13665,12971,12743,12925,12346,10930
Village,9280,9382,9640,8406,8684,10397,11784
Boyabat,,,,,,,
Total,43826,43861,43838,42487,42753,43289,42996
Man,21599,21673,21588,20889,21102,21317,21104
Woman,22227,22188,22250,21598,21651,21972,21892
Town,27334,26730,26121,26586,26467,25952,25271
Village,16492,17131,17717,15901,16286,17337,17725
Dikmen,,,,,,,
Total,5488,5613,6138,5828,6313,6726,6405
Man,2728,2793,3080,2932,3168,3353,3168
Woman,2760,2820,3058,2896,3145,3373,3237
Town,1655,1523,1596,1199,1327,1614,1012
Village,3833,4090,4542,4629,4986,5112,5393
Duragan,,,,,,,
Total,18456,19495,20562,19560,20469,6726,21776
Man,9145,9687,10231,9724,10205,3353,10800
Woman,9311,9808,10331,9836,10264,3373,10976
Town,7415,7432,7434,7667,7838,1614,7442
Village,11041,12063,13128,11893,12631,5112,14334
Erfelek,,,,,,,
Total,11130,11244,11490,10442,10660,11683,11687
Man,5517,5578,5730,5209,5266,5770,5779
Woman,5613,5666,5760,5233,5394,5913,5908
Town,3556,3492,3524,3611,3691,3682,3655
Village,7574,7752,7966,6831,6969,8001,8032
Gerze,,,,,,,
Total,22623,22327,21924,21248,20957,20938,20591
Man,11190,11001,10790,10459,10269,10247,10045
Woman,11433,11326,11134,10789,10688,10691,10546
Town,14219,13728,12916,13680,13233,11702,11226
Village,8404,8599,9008,7568,7724,9236,9365
Merkez,,,,,,,
Total,60880,59571,58005,21248,20957,20938,20591
Man,30275,29534,28758,10459,10269,10247,10045
Woman,30605,30037,29247,10789,10688,10691,10546
Town,40667,39239,38459,13680,13233,11702,11226
Village,20213,20332,19546,7568,7724,9236,9365
Sarayduzu,,,,,,,
Total,5000,5132,5617,4803,4803,5007,5002
Man,2484,2513,2782,2381,2381,2474,2443
Woman,2516,2619,2835,2422,2422,2533,2559
Town,1293,1115,1246,1099,1006,939,951
Village,3707,4017,4371,3704,3797,4071,4051
Turkeli,,,,,,,
Total,14165,14236,14383,13513,13776,14906,14907
Man,6940,6956,7029,6597,6723,"7254",7278
Woman,7225,7280,7354,6916,7053,"7652",7629
Town,5690,5587,5597,7003,7088,"5630",5457
Village,8475,8649,8786,6510,6688,"9276",9450
